 ,Label,Area,Mean,Min,Max,XM,YM,Perim.,IntDen,RawIntDen,Slice
183,20190816_foci_10ugml_60min_03.TIF:0009-0389-0145:9,32,8460.188,5075,15530,145.189,389.040,18.850,270726.000,270726.000,9
184,20190816_foci_10ugml_60min_03.TIF:0009-0393-0154:9,32,6304.281,4126,10635,153.960,393.218,18.850,201737.000,201737.000,9
185,20190816_foci_10ugml_60min_03.TIF:0010-0391-0143:10,32,6344.719,3816,10891,143.096,390.965,18.850,203031.000,203031.000,10
186,20190816_foci_10ugml_60min_03.TIF:0010-0394-0157:10,32,5945.031,3892,10311,157.208,394.043,18.850,190241.000,190241.000,10
187,20190816_foci_10ugml_60min_03.TIF:0010-0375-0157:10,32,5034.906,3463,9347,157.028,375.040,18.850,161117.000,161117.000,10
188,20190816_foci_10ugml_60min_03.TIF:0004-0417-0061:4,32,5775.469,3413,10437,61.252,417.081,18.850,184815.000,184815.000,4
189,20190816_foci_10ugml_60min_03.TIF:0004-0409-0065:4,32,6072.875,4049,8674,65.062,409.191,18.850,194332.000,194332.000,4
190,20190816_foci_10ugml_60min_03.TIF:0005-0409-0066:5,32,8500.250,4264,13466,66.081,409.294,18.850,272008.000,272008.000,5
191,20190816_foci_10ugml_60min_03.TIF:0005-0400-0060:5,32,5250.719,3552,8483,60.023,400.178,18.850,168023.000,168023.000,5
192,20190816_foci_10ugml_60min_03.TIF:0007-0407-0058:7,32,6146.156,3396,12135,58.220,407.338,18.850,196677.000,196677.000,7
193,20190816_foci_10ugml_60min_03.TIF:0007-0404-0069:7,32,6612.406,4237,10250,69.027,404.013,18.850,211597.000,211597.000,7
194,20190816_foci_10ugml_60min_03.TIF:0007-0415-0056:7,32,5516.062,3446,10062,56.139,415.080,18.850,176514.000,176514.000,7
195,20190816_foci_10ugml_60min_03.TIF:0008-0419-0058:8,32,7091.562,4028,12724,58.125,419.143,18.850,226930.000,226930.000,8
196,20190816_foci_10ugml_60min_03.TIF:0008-0418-0052:8,32,6577.188,3973,11301,51.992,417.926,18.850,210470.000,210470.000,8
197,20190816_foci_10ugml_60min_03.TIF:0008-0390-0065:8,32,5689.219,3271,11456,65.008,390.237,18.850,182055.000,182055.000,8
198,20190816_foci_10ugml_60min_03.TIF:0008-0407-0060:8,32,5659.812,4067,9312,60.063,407.002,18.850,181114.000,181114.000,8
199,20190816_foci_10ugml_60min_03.TIF:0009-0416-0064:9,32,5811.000,3720,9807,64.126,416.172,18.850,185952.000,185952.000,9
200,20190816_foci_10ugml_60min_03.TIF:0009-0403-0060:9,32,5359.938,3431,9124,60.008,403.306,18.850,171518.000,171518.000,9
201,20190816_foci_10ugml_60min_03.TIF:0003-0427-0231:3,32,6142.625,4217,9273,230.963,427.131,18.850,196564.000,196564.000,3
202,20190816_foci_10ugml_60min_03.TIF:0004-0427-0245:4,32,4974.562,3453,8358,245.068,427.058,18.850,159186.000,159186.000,4
203,20190816_foci_10ugml_60min_03.TIF:0005-0411-0237:5,32,6064.500,3348,10986,237.235,411.304,18.850,194064.000,194064.000,5
